               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10607,             0.04983,            0.071578,            0.006589,             0.33172,            0.025114,           0.0068999,            0.078041,            0.035803,            0.067532,            0.070667,           0.0032593,           0.0032593
                   1,            0.077633,            0.055187,            0.060971,             0.59913,             0.14129,             0.07332,            0.024414,            0.068024,            0.036951,            0.053813,            0.040536,           0.0064621,           0.0064621
                   2,            0.072994,             0.05018,             0.05247,             0.39362,             0.15773,            0.051972,            0.015035,            0.074601,            0.031776,            0.045154,            0.010274,           0.0095329,           0.0095329
                   3,            0.071717,            0.050518,            0.046987,             0.43931,             0.15332,            0.095411,            0.028577,             0.06615,            0.031241,             0.04258,            0.009406,            0.009406,            0.009406
                   4,            0.067535,            0.049578,            0.043393,             0.44447,             0.22499,             0.11412,            0.038458,            0.062434,            0.030508,            0.040045,            0.009406,            0.009406,            0.009406
                   5,            0.064732,            0.049696,            0.039391,             0.53459,             0.20937,             0.12449,            0.043543,             0.06532,            0.030493,            0.040099,            0.009208,            0.009208,            0.009208
                   6,            0.061167,            0.048074,            0.039093,             0.23686,             0.32815,             0.16521,             0.06403,            0.066721,             0.02894,            0.039349,             0.00901,             0.00901,             0.00901
                   7,            0.061773,            0.047859,            0.036724,             0.29963,             0.33266,             0.19983,            0.067811,            0.058423,            0.031806,            0.039098,            0.008812,            0.008812,            0.008812
                   8,            0.056306,            0.048094,            0.035427,             0.41971,             0.33739,             0.21876,            0.087166,             0.05852,             0.03044,            0.036246,            0.008614,            0.008614,            0.008614
                   9,            0.056106,             0.04909,            0.034095,             0.30937,              0.3677,             0.23965,             0.09097,            0.056032,            0.029765,            0.035358,            0.008416,            0.008416,            0.008416
                  10,            0.055319,            0.048495,            0.032675,             0.44578,             0.44643,             0.26453,            0.092825,            0.056489,            0.030467,            0.035091,            0.008218,            0.008218,            0.008218
                  11,            0.052768,            0.047116,            0.032726,             0.45861,             0.36514,             0.26474,             0.11079,            0.055384,            0.029893,             0.03506,             0.00802,             0.00802,             0.00802
                  12,            0.053837,            0.045479,            0.033569,             0.43181,             0.37636,             0.27151,            0.096426,            0.056483,             0.03004,             0.03378,            0.007822,            0.007822,            0.007822
                  13,             0.05196,            0.045307,            0.030261,             0.48148,             0.41463,             0.33009,             0.13764,            0.052691,             0.03073,            0.033195,            0.007624,            0.007624,            0.007624
                  14,            0.051476,            0.046082,            0.030342,             0.47628,              0.4483,             0.33321,             0.14259,            0.053059,            0.029833,            0.031602,            0.007426,            0.007426,            0.007426
                  15,            0.050146,            0.047435,            0.029146,             0.45174,             0.48751,             0.31602,             0.13999,            0.054526,            0.028996,            0.031137,            0.007228,            0.007228,            0.007228
                  16,            0.049843,            0.045016,            0.027902,             0.34803,             0.48636,             0.33518,             0.14452,            0.052065,            0.029663,            0.032178,             0.00703,             0.00703,             0.00703
                  17,            0.049183,             0.04528,            0.026508,             0.46336,             0.44163,             0.34433,             0.14248,            0.052621,            0.029696,             0.03197,            0.006832,            0.006832,            0.006832
                  18,            0.048878,            0.046593,            0.025422,              0.3726,             0.44067,             0.34585,             0.14771,            0.051319,            0.030566,            0.032956,            0.006634,            0.006634,            0.006634
